date,code,open,high,low,close,preclose,volume,amount,pctChg
2020-09-03,sz.399001,13871.2682,13933.4238,13722.5761,13772.3737,13887.4251,48294048844,591494024504.9100,-0.828457
2020-09-04,sz.399001,13501.9111,13680.0589,13487.6919,13656.6574,13772.3737,43711596516,530504801476.5800,-0.840206
2020-09-07,sz.399001,13633.5055,13714.3174,13232.2425,13284.0335,13656.6574,54163942902,663791588007.4500,-2.728515
2020-09-08,sz.399001,13315.1484,13351.5667,13118.9426,13293.3300,13284.0335,53406929889,604152978954.3500,0.069983
2020-09-09,sz.399001,13107.9767,13122.7624,12778.4299,12861.7500,13293.3300,63718923129,695257373144.1400,-3.246591
2020-09-10,sz.399001,13001.3832,13068.2252,12709.7516,12742.8454,12861.7500,52989805301,563505245098.0200,-0.924482
2020-09-11,sz.399001,12711.0884,12952.4655,12702.6217,12942.9488,12742.8454,38395252307,429698229423.8100,1.570320
2020-09-14,sz.399001,13024.5553,13107.2807,12921.7584,13021.9901,12942.9488,41914355134,500237497534.7500,0.610690
2020-09-15,sz.399001,13032.2847,13148.1684,12976.0285,13143.4570,13021.9901,39123347913,473751759490.4200,0.932783
2020-09-16,sz.399001,13123.4964,13137.7196,12947.0492,13011.2814,13143.4570,35324537128,441995000980.2200,-1.005638
2020-09-17,sz.399001,12970.3420,13113.7724,12870.9921,13015.1892,13011.2814,35395341326,474313751889.0000,0.030034
2020-09-18,sz.399001,13026.1053,13253.6780,12987.5879,13245.0900,13015.1892,39237245188,498662473853.7900,1.766404
2020-09-21,sz.399001,13280.0081,13289.6040,13135.2411,13149.5014,13245.0900,36664404650,467386110298.5400,-0.721691
2020-09-22,sz.399001,13052.0849,13212.2393,12981.9670,13023.4311,13149.5014,35053831009,433184435438.9600,-0.958746
2020-09-23,sz.399001,13044.8118,13148.9351,12991.6609,13110.0723,13023.4311,31823574001,420011122360.8800,0.665272
2020-09-24,sz.399001,13018.3023,13044.3819,12816.6063,12816.6063,13110.0723,34406662290,421049315211.4300,-2.238477
2020-09-25,sz.399001,12876.0754,12919.6138,12764.2648,12814.1736,12816.6063,27281982365,348702938179.3300,-0.018981
2020-09-28,sz.399001,12860.0911,12890.8989,12752.3904,12760.9325,12814.1736,25146757869,330571549214.1400,-0.415486
2020-09-29,sz.399001,12843.2273,12966.8509,12798.6508,12900.6952,12760.9325,25319344085,337712472885.6800,1.095239
2020-09-30,sz.399001,12948.9707,13040.0408,12834.7687,12907.4481,12900.6952,25219958095,334240715354.4000,0.052345
2020-10-09,sz.399001,13161.3551,13323.8093,13145.7545,13289.2621,12907.4481,31808432606,447106821134.4200,2.958091
2020-10-12,sz.399001,13386.3445,13708.0666,13382.6982,13708.0666,13289.2621,43426916790,615700251062.3700,3.151450
2020-10-13,sz.399001,13678.6222,13820.5627,13622.9511,13798.5789,13708.0666,38136928418,546439745273.1700,0.660285
2020-10-14,sz.399001,13781.5598,13781.7754,13664.7332,13691.0429,13798.5789,38344693819,546486209380.3700,-0.779327
2020-10-15,sz.399001,13702.8323,13737.0754,13617.0817,13624.8908,13691.0429,35572512599,500160789623.2100,-0.483178
2020-10-16,sz.399001,13611.9135,13665.5773,13439.8832,13532.7292,13624.8908,32428415619,455152499609.6100,-0.676421
2020-10-19,sz.399001,13638.7803,13660.5388,13393.0225,13421.1948,13532.7292,32953932095,455215631009.3300,-0.824183
2020-10-20,sz.399001,13417.2213,13603.8810,13371.5541,13603.8810,13421.1948,31664258129,439571085476.2100,1.361177
2020-10-21,sz.399001,13613.8685,13613.8685,13396.5413,13467.9132,13603.8810,31784128351,459421420582.7200,-0.999478
2020-10-22,sz.399001,13419.3912,13435.4069,13252.0627,13396.1815,13467.9132,30165867996,427266546406.1100,-0.532612
2020-10-23,sz.399001,13405.5349,13487.1072,13110.0177,13128.4553,13396.1815,30248190644,437816160845.3800,-1.998526
2020-10-26,sz.399001,13056.3010,13242.6325,12922.5877,13191.2470,13128.4553,27610939613,398149304361.7800,0.478287
2020-10-27,sz.399001,13159.3682,13291.8035,13146.5511,13269.6543,13191.2470,28797432788,413771508672.3900,0.594389
2020-10-28,sz.399001,13273.4991,13438.4685,13188.6553,13388.1038,13269.6543,32393468123,476947352377.2000,0.892634
2020-10-29,sz.399001,13219.8925,13582.3070,13200.7786,13519.6613,13388.1038,33396187162,501666720028.3600,0.982645
2020-10-30,sz.399001,13544.2856,13550.3582,13204.2453,13236.6010,13519.6613,37563158518,541927833404.8500,-2.093694
2020-11-02,sz.399001,13269.9698,13462.4226,13258.1628,13420.9609,13236.6010,33927503376,487110104524.2100,1.392804
2020-11-03,sz.399001,13476.5834,13592.9195,13414.0029,13580.0350,13420.9609,34056524371,481009295157.5800,1.185266
2020-11-04,sz.399001,13586.3292,13691.6923,13544.8299,13659.4993,13580.0350,31312451106,459038067570.2000,0.585155
2020-11-05,sz.399001,13802.1789,13894.2566,13728.6406,13894.2566,13659.4993,36579832399,543464101585.7600,1.718638
2020-11-06,sz.399001,13932.4138,13932.4138,13708.7490,13838.4217,13894.2566,36615163878,552972517358.1000,-0.401856
2020-11-09,sz.399001,13934.3703,14197.8467,13934.3703,14141.1529,13838.4217,43721814198,653608478471.8700,2.187614
2020-11-10,sz.399001,14121.6855,14121.6855,13908.2079,13993.3352,14141.1529,39435980274,591195899277.9000,-1.045302
2020-11-11,sz.399001,13925.4352,13981.9867,13715.4373,13720.1740,13993.3352,35060656176,513813238957.2000,-1.952081
2020-11-12,sz.399001,13789.2954,13846.8683,13724.3358,13792.0742,13720.1740,30252256244,421166043225.8700,0.524047
2020-11-13,sz.399001,13755.2852,13802.7123,13620.8899,13754.5536,13792.0742,29635933283,425634573421.6200,-0.272045
2020-11-16,sz.399001,13811.8499,13850.8288,13669.2547,13850.8288,13754.5536,33617086394,467276094182.7300,0.699951
2020-11-17,sz.399001,13843.0116,13843.0116,13628.8210,13732.5199,13850.8288,36114507131,499915338642.5700,-0.854165
2020-11-18,sz.399001,13710.0233,13773.5817,13602.6927,13658.2034,13732.5199,34749263489,463012987298.1500,-0.541172
2020-11-19,sz.399001,13633.9713,13812.7811,13578.3253,13777.4452,13658.2034,34692556329,454766978236.6200,0.873042
2020-11-20,sz.399001,13789.9845,13865.7193,13773.2136,13852.4182,13777.4452,32938386364,438277523421.6600,0.544172
2020-11-23,sz.399001,13871.7112,14021.5046,13795.9196,13955.2848,13852.4182,40104197900,522455359919.4200,0.742589
