date,code,open,high,low,close,preclose,volume,amount,pctChg,label
2021-03-25,sh.000001,3355.0706,3382.226,3344.9695,3363.5915,3367.0606,27067609700,290223442604.1,-0.103031,1
2021-03-26,sh.000001,3373.3171,3423.2231,3373.3171,3418.3267,3363.5915,27461498700,322408619946.0,1.627284,1
2021-03-29,sh.000001,3429.6322,3449.8338,3409.8868,3435.2958,3418.3267,28482424300,327944119662.4,0.49641499999999994,1
2021-03-30,sh.000001,3432.5288,3457.6345,3423.3154,3456.6766,3435.2958,28542308100,331625651218.5,0.622386,0
2021-03-31,sh.000001,3452.2078,3452.2078,3420.8321,3441.9115,3456.6766,28304926100,314174120171.9,-0.427147,1
2021-04-01,sh.000001,3444.8102,3470.0311,3438.8255,3466.3315,3441.9115,27524429500,292651912290.5,0.709489,1
2021-04-02,sh.000001,3472.6276,3487.5862,3462.8321,3484.3924,3466.3315,26265487300,317953200767.5,0.521038,0
2021-04-06,sh.000001,3491.6336,3493.2806,3471.761,3482.9674,3484.3924,23474667100,286329672740.3,-0.040897,0
2021-04-07,sh.000001,3483.4211,3483.4211,3453.1947,3479.6256,3482.9674,29578697800,323650987028.2,-0.095947,1
2021-04-08,sh.000001,3467.4871,3495.9086,3459.3246,3482.5548,3479.6256,33175532900,348011326769.4,0.08418099999999999,0
2021-04-09,sh.000001,3475.4434,3475.4467,3442.1392,3450.6772,3482.5548,28008519600,306422226254.5,-0.915351,0
2021-04-12,sh.000001,3445.9696,3456.1581,3403.9012,3412.9477,3450.6772,30957723900,338890339564.4,-1.093394,0
2021-04-13,sh.000001,3411.2928,3425.3945,3387.902,3396.47,3412.9477,27062605400,290539879926.0,-0.4828,1
2021-04-14,sh.000001,3397.021,3420.0278,3392.9751,3416.7212,3396.47,23324232700,269010070613.9,0.5962430000000001,0
2021-04-15,sh.000001,3409.6139,3409.6139,3373.0939,3398.9875,3416.7212,23400505400,272569196767.4,-0.519027,1
2021-04-16,sh.000001,3407.188,3432.6286,3394.1344,3426.6178,3398.9875,25857967200,295951094704.6,0.812898,1
2021-04-19,sh.000001,3427.548,3479.0099,3414.3564,3477.5485,3426.6178,30273581900,368472467524.5,1.486326,0
2021-04-20,sh.000001,3467.1481,3494.2983,3463.4637,3472.9427,3477.5485,28530008200,358982768197.6,-0.132444,0
2021-04-21,sh.000001,3456.2991,3481.2511,3450.1113,3472.9298,3472.9427,25377785900,323914146231.9,-0.000371,0
2021-04-22,sh.000001,3482.8328,3485.3585,3456.3156,3465.1138,3472.9298,25111451000,317081034873.3,-0.225055,1
2021-04-23,sh.000001,3462.0858,3482.3587,3456.3329,3474.166,3465.1138,24936043300,323015935279.5,0.261238,0
2021-04-26,sh.000001,3484.1072,3497.1208,3438.5724,3441.1658,3474.166,27697077100,388161675553.7,-0.949874,0
2021-04-27,sh.000001,3440.0911,3443.8538,3417.2647,3442.6111,3441.1658,25303239300,327046020017.7,0.042,1
2021-04-28,sh.000001,3432.1612,3457.0683,3423.325,3457.0683,3442.6111,24738112000,349669207298.3,0.41994899999999996,1
2021-04-29,sh.000001,3458.0819,3478.2278,3447.5878,3474.9011,3457.0683,27663138700,371611589910.9,0.515836,0
2021-04-30,sh.000001,3468.3022,3469.0872,3426.9023,3446.8564,3474.9011,31266035400,401442334677.1,-0.8070649999999999,0
2021-05-06,sh.000001,3446.0743,3471.2396,3426.8487,3441.2826,3446.8564,31042419200,400525169566.4,-0.161707,0
2021-05-07,sh.000001,3446.407,3457.8924,3416.7755,3418.8741,3441.2826,35378538900,411078841642.7,-0.651167,1
2021-05-10,sh.000001,3423.5896,3429.7359,3401.9346,3427.9909,3418.8741,37417088400,399717549009.4,0.26666100000000004,1
2021-05-11,sh.000001,3406.598,3448.0959,3384.6966,3441.8454,3427.9909,35093411200,390326273819.7,0.404158,1
2021-05-12,sh.000001,3429.7544,3466.3708,3428.3944,3462.7513,3441.8454,31144454700,343860406432.6,0.6074039999999999,0
2021-05-13,sh.000001,3432.138,3448.0169,3418.3846,3429.5361,3462.7513,31932532700,356376917818.6,-0.9592139999999999,1
2021-05-14,sh.000001,3436.0919,3490.6437,3422.5649,3490.3762,3429.5361,33698230900,411116942849.1,1.7740040000000001,1
2021-05-17,sh.000001,3490.4091,3530.5055,3490.1438,3517.6158,3490.3762,32213596900,424476783398.0,0.78042,1
2021-05-18,sh.000001,3520.6488,3529.0144,3510.862,3529.0144,3517.6158,27130855800,336028774653.5,0.32404299999999997,0
2021-05-19,sh.000001,3521.1097,3521.1097,3503.8151,3510.9647,3529.0144,27832111700,349973152293.4,-0.511466,0
2021-05-20,sh.000001,3500.8773,3517.7399,3486.0662,3506.9444,3510.9647,32600933300,390355321486.4,-0.114507,0
2021-05-21,sh.000001,3510.8353,3518.3769,3479.6744,3486.5569,3506.9444,28382628500,356025931292.5,-0.5813470000000001,1
2021-05-24,sh.000001,3486.2711,3498.3037,3469.8746,3497.2821,3486.5569,28950924200,367181627934.0,0.307616,1
2021-05-25,sh.000001,3502.539,3584.5774,3502.4429,3581.3418,3497.2821,34124112700,472213531433.2,2.403572,1
2021-05-26,sh.000001,3586.8388,3603.4881,3585.3695,3593.357,3581.3418,34198028800,455831256660.6,0.335494,1
2021-05-27,sh.000001,3585.7337,3626.3584,3579.2601,3608.8507,3593.357,30955148600,429004239270.6,0.431176,0
2021-05-28,sh.000001,3610.7668,3622.1801,3582.358,3600.7844,3608.8507,34920883000,452445031965.2,-0.223514,1
2021-05-31,sh.000001,3600.0702,3615.6568,3580.6524,3615.4773,3600.7844,33152377000,449694380975.5,0.408047,1
